organisation,interventions,tags
local-authority:ADU,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:ASF,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:BAE,innovation;improvement,lpa;Software;direct:Software;PropTech;planx-data;local-authority;local-planning-authority;improvement;innovation;direct:improvement
local-authority:BAI,innovation;improvement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;innovation;direct:improvement;direct:innovation
local-authority:BAN,integration;improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;integration;improvement;direct:integration;direct:improvement
local-authority:BDG,improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;direct:engagement;direct:improvement
local-authority:BEN,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:BEX,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:BIR,software;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;software;engagement;direct:engagement;direct:software
local-authority:BNE,innovation;software,lpa;Software;direct:Software;PropTech;planx-data;local-authority;local-planning-authority;software;innovation;direct:software
local-authority:BNH,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:BNS,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:BOL,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:BOS,engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;engagement;direct:engagement
local-authority:BPL,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:BRA,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:BRD,innovation;engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;engagement;innovation;direct:innovation
local-authority:BRO,improvement,lpa;Software;planx-data;local-authority;local-planning-authority;improvement
local-authority:BRY,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:BST,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:BUC,software,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;software;direct:software
local-authority:BUR,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:CAB,innovation,lpa;PropTech;local-authority;local-planning-authority;innovation
local-authority:CAN,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:CAS,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:CAT,software,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;software;direct:software
local-authority:CBF,innovation;improvement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;innovation;direct:improvement;direct:innovation
local-authority:CHL,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:CHS,innovation;engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;engagement;innovation;direct:engagement
local-authority:CHT,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:CHW,innovation,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;innovation;direct:innovation
local-authority:CLD,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:CMD,software,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;software;direct:software
local-authority:COL,integration;improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;integration;improvement;direct:integration;direct:improvement
local-authority:CON,innovation;engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;engagement;innovation;direct:engagement;direct:innovation
local-authority:COT,innovation;improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;innovation;direct:engagement;direct:improvement
local-authority:COV,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:CRW,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:CRY,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:DAC,innovation;software;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;software;engagement;innovation;direct:engagement;direct:software;direct:innovation
local-authority:DAR,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:DER,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:DNC,software,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;software;direct:software
local-authority:DOV,integration,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;integration;direct:integration
local-authority:DST,integration;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;integration;engagement;direct:engagement;direct:integration
local-authority:DUR,innovation,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;innovation;direct:innovation
local-authority:ECA,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:EHA,improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;direct:engagement;direct:improvement
local-authority:EHE,innovation;improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;innovation;direct:improvement;direct:innovation
local-authority:ENF,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:EPP,engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;engagement;direct:engagement
local-authority:EPS,software;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;software;engagement;direct:engagement;direct:software
local-authority:ERY,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:ESS,engagement,PropTech;local-authority;mineral-planning-authority;waste-planning-authority;engagement
local-authority:EXE,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:FEN,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:FOE,innovation;improvement,lpa;Software;direct:Software;PropTech;planx-data;local-authority;local-planning-authority;improvement;innovation;direct:improvement
local-authority:GAT,innovation;software;integration,lpa;Software;direct:Software;PropTech;planx-data;local-authority;local-planning-authority;software;integration;innovation;direct:integration;direct:software
local-authority:GED,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:GLA,integration,Software;direct:Software;local-authority;waste-planning-authority;integration;direct:integration
local-authority:GLO,software,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;software;direct:software
local-authority:GMCA,integration,Software;direct:Software;local-authority;integration;direct:integration
local-authority:GRY,integration,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;integration;direct:integration
local-authority:HAA,improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;direct:engagement;direct:improvement
local-authority:HAL,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:HAO,engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;engagement;direct:engagement
local-authority:HAR,improvement;engagement,lpa;Software;direct:Software;PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;direct:improvement
local-authority:HAT,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:HAV,integration,lpa;Software;direct:Software;local-authority;local-planning-authority;integration;direct:integration
local-authority:HCK,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:HEF,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:HER,engagement,lpa;PropTech;local-authority;local-planning-authority;engagement
local-authority:HIL,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:HNS,innovation;integration;improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;integration;improvement;engagement;innovation;direct:engagement;direct:integration;direct:improvement;direct:innovation
local-authority:HOR,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:HRT,engagement,PropTech;local-authority;mineral-planning-authority;waste-planning-authority;engagement
local-authority:HRW,integration,lpa;Software;direct:Software;local-authority;local-planning-authority;integration;direct:integration
local-authority:HRY,innovation;improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;innovation;direct:engagement;direct:improvement;direct:innovation
local-authority:HUN,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:IPS,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:KEC,innovation;improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;innovation;direct:engagement;direct:improvement;direct:innovation
local-authority:KHL,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:KIN,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:KTT,integration;improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;integration;improvement;direct:integration;direct:improvement
local-authority:KWL,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:LAC,innovation,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;innovation;direct:innovation
local-authority:LBH,innovation;software;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;software;engagement;innovation;direct:engagement;direct:software;direct:innovation
local-authority:LCE,improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;engagement;direct:engagement;direct:improvement
local-authority:LDS,innovation;integration;improvement,lpa;Software;direct:Software;PropTech;planx-data;local-authority;local-planning-authority;integration;improvement;innovation;direct:integration;direct:improvement
local-authority:LEE,engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;engagement;direct:engagement
local-authority:LEW,innovation;improvement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;innovation;direct:improvement;direct:innovation
local-authority:LIC,innovation,lpa;PropTech;local-authority;local-planning-authority;innovation
local-authority:LIN,innovation,PropTech;local-authority;mineral-planning-authority;waste-planning-authority;innovation
local-authority:LIV,integration,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;integration;direct:integration
local-authority:LND,innovation;improvement,lpa;Software;direct:Software;PropTech;planx-data;local-authority;local-planning-authority;improvement;innovation;direct:improvement
local-authority:MAI,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:MAN,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:MAV,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:MDW,software,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;software;direct:software
local-authority:MIK,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:NBL,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:NDE,innovation;integration;improvement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;integration;improvement;innovation;direct:integration;direct:improvement;direct:innovation
local-authority:NED,innovation,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;innovation;direct:innovation
local-authority:NET,innovation;software,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;software;innovation;direct:software;direct:innovation
local-authority:NEW,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:NGM,innovation;integration;improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;integration;improvement;engagement;innovation;direct:engagement;direct:integration;direct:improvement
local-authority:NKE,innovation,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;innovation;direct:innovation
local-authority:NLN,integration;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;integration;engagement;direct:engagement;direct:integration
local-authority:NNO,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:NSM,integration,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;integration;direct:integration
local-authority:NTY,innovation;improvement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;innovation;direct:improvement;direct:innovation
local-authority:NWA,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:NWM,engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;engagement;direct:engagement
local-authority:NYUA,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:OLD,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:OXO,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:PLY,innovation;improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;engagement;innovation;direct:engagement;direct:improvement;direct:innovation
local-authority:PTE,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:RCH,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:RDB,integration;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;integration;engagement;direct:engagement;direct:integration
local-authority:REI,innovation,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;innovation;direct:innovation
local-authority:RIC,engagement,lpa;PropTech;local-authority;local-planning-authority;engagement
local-authority:ROH,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:ROS,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:ROT,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:RUN,engagement,lpa;PropTech;direct:PropTech;local-authority;local-planning-authority;engagement;direct:engagement
local-authority:SAL,integration;engagement,lpa;Software;direct:Software;PropTech;planx-data;local-authority;local-planning-authority;integration;engagement;direct:integration
local-authority:SAW,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:SCA,innovation;improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;innovation;direct:engagement;direct:improvement;direct:innovation
local-authority:SEV,innovation;integration,lpa;Software;direct:Software;PropTech;direct:PropTech;local-authority;local-planning-authority;integration;innovation;direct:integration;direct:innovation
local-authority:SFT,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:SGC,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;direct:improvement
local-authority:SHA,innovation;engagement,lpa;PropTech;local-authority;local-planning-authority;engagement;innovation
local-authority:SKP,improvement;engagement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;improvement;engagement;direct:engagement;direct:improvement
local-authority:SLF,innovation;integration,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;integration;innovation;direct:integration;direct:innovation
local-authority:SNO,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:SPE,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:SRY,innovation;engagement,PropTech;direct:PropTech;local-authority;mineral-planning-authority;waste-planning-authority;engagement;innovation;direct:engagement;direct:innovation
local-authority:SST,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:STA,improvement,lpa;Software;direct:Software;planx-data;local-authority;local-planning-authority;improvement;direct:improvement
local-authority:STE,innovation;improvement,lpa;Software;direct:Software;PropTech;direct:PropTech;planx-data;local-authority;local-planning-authority;mineral-planning-authority;waste-planning-authority;improvement;innovation;direct:improvement;direct:innovation
